category,palmitico,palmitoleico,stearico,oleico,linoleico,eicosanoico,linolenico
NA ,10.75,0.75,2.26,78.230011,6.72,0.36,0.6
NA ,10.88,0.73,2.24,77.089996,7.81,0.31,0.61
NA ,9.109999,0.54,2.46,81.129997,5.49,0.31,0.63
NA ,9.66,0.57,2.4,79.519997,6.19,0.5,0.78
NA ,10.51,0.67,2.59,77.709999,6.72,0.5,0.8
NA ,9.109999,0.49,2.68,79.239998,6.78,0.51,0.7
NA ,9.22,0.66,2.64,79.900002,6.18,0.49,0.56
NA ,11,0.61,2.35,77.279999,7.34,0.39,0.64
NA ,10.82,0.6,2.39,77.449997,7.09,0.46,0.83
NA ,10.37,0.55,2.13,79.440002,6.33,0.26,0.52
NA ,10.51,0.35,2.19,79.779999,6.05,0.21,0.65
NA ,10.36,0.59,2.35,78.68,6.61,0.3,0.62
NA ,10.74,0.7,2.14,77.279999,7.47,0.5,0.79
NA ,8.75,0.52,2.43,80.18,6.55,0.41,0.79
NA ,9.520001,0.49,2.54,77.949997,7.8,0.5,0.75
NA ,11.55,0.98,2.01,76.059998,8.16,0.32,0.6
NA ,9.43,0.94,1.83,78.400002,7.88,0.42,0.75
NA ,12.78,0.69,2.05,73.440002,9.57,0.45,0.7
NA ,9.609999,0.7,1.95,79.580002,7.42,0.46,0.75
NA ,9.520001,0.77,2.58,78.199997,7.36,0.43,0.78
NA ,10.74,0.67,2.36,76.919998,7.16,0.56,0.83
NA ,9.95,0.46,2.88,78.059998,6.79,0.56,0.86
NA ,10.56,0.53,2.47,77.029999,7,0.54,0.89
NA ,10.65,0.39,2.34,78.760002,7.03,0.42,0.74
NA ,10.65,0.45,2.45,77.790001,6.96,0.47,0.82
SA ,14.54,1.83,1.96,70.57,10.14,0.27,0.46
SA ,13.47,1.94,1.97,72.769997,8.95,0.25,0.46
SA ,13.64,2.04,2.25,69.290001,10.84,0.21,0.5
SA ,14.1,1.99,2.16,71.300003,9.55,0.21,0.48
SA ,13.84,1.78,2.08,71.050003,9.99,0.29,0.67
SA ,14.12,1.85,2.17,68.419998,12.03,0.34,0.72
